Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.261700,6.261700,6.168240,6.238330,4.869456,14770249
2010-01-05,6.261700,6.355150,6.214970,6.214970,4.851222,20447657
2010-01-06,6.214970,6.355150,6.214970,6.308420,4.924166,24179809
2010-01-07,6.355150,6.542070,6.331790,6.378520,4.978884,39121258
2010-01-08,6.448610,6.518710,6.355150,6.471980,5.051836,22564113
2010-01-11,6.495340,6.542070,6.401880,6.425250,5.015360,23004952
2010-01-12,6.448610,6.495340,6.331790,6.355150,4.960641,20075298
2010-01-13,6.285060,6.331790,6.238330,6.238330,4.869456,9236221
2010-01-14,6.285060,6.308420,6.214970,6.261700,4.887697,12294274
2010-01-15,6.285060,6.331790,6.238330,6.308420,4.924166,15713987
2010-01-18,6.191600,6.285060,6.191600,6.261700,4.887697,8626322
2010-01-19,6.261700,6.308420,6.144870,6.214970,4.851222,14350810
2010-01-20,6.238330,6.238330,6.098140,6.121510,4.778269,16099186
2010-01-21,6.121510,6.144870,6.004690,6.004690,4.687083,16685545
2010-01-22,5.934590,5.981320,5.864500,5.887860,4.595890,20528977
2010-01-25,5.794400,5.911230,5.794400,5.864500,4.577655,14515590
2010-01-26,5.864500,5.864500,5.654220,5.677580,4.431751,27481822
2010-01-27,5.677580,5.700950,5.560760,5.607490,4.377040,16011446
2010-01-28,5.677580,5.747680,5.607490,5.654220,4.413517,11752855
2010-01-29,5.654220,5.654220,5.443940,5.607490,4.377040,20815736
2010-02-01,5.654220,5.654220,5.490670,5.560760,4.340565,9338940
2010-02-02,5.630850,5.654220,5.443940,5.490670,4.285854,14761689
2010-02-03,5.514030,5.584120,5.467300,5.584120,4.358799,7958643
2010-02-04,5.584120,5.584120,5.490670,5.514030,4.304089,9124941
2010-02-05,5.420570,5.420570,5.140200,5.163560,4.030522,36683803
2010-02-08,5.233660,5.233660,5.093470,5.210290,4.066998,11797795
2010-02-09,5.140200,5.397210,5.140200,5.397210,4.212903,9696320
2010-02-10,5.490670,5.514030,5.397210,5.467300,4.267612,14288750
2010-02-22,5.560760,5.654220,5.490670,5.630850,4.395275,17293304
2010-02-23,5.630850,5.654220,5.537390,5.654220,4.413517,10738497
2010-02-24,5.607490,5.700950,5.560760,5.607490,4.377040,13327892
2010-02-25,5.677580,5.700950,5.490670,5.490670,4.285854,16689825
2010-02-26,5.560760,5.584120,5.514030,5.560760,4.340565,12557494
2010-03-01,5.607490,5.700950,5.537390,5.630850,4.395275,14121830
2010-03-02,5.630850,5.677580,5.584120,5.630850,4.395275,5895688
2010-03-03,5.654220,5.747680,5.630850,5.677580,4.431751,9437380
2010-03-04,5.677580,5.700950,5.490670,5.514030,4.304089,10704258
2010-03-05,5.584120,5.654220,5.560760,5.560760,4.340565,15861647
2010-03-08,5.607490,5.677580,5.607490,5.654220,4.413517,8112723
2010-03-09,5.584120,5.654220,5.584120,5.607490,4.377040,7194665
2010-03-10,5.607490,5.911230,5.607490,5.864500,4.577655,37223082
2010-03-11,5.864500,5.887860,5.794400,5.864500,4.577655,17678503
2010-03-12,5.864500,5.864500,5.794400,5.817770,4.541179,9077861
2010-03-15,5.911230,5.911230,5.817770,5.817770,4.541179,18367581
2010-03-16,5.841130,5.981320,5.817770,5.981320,4.668841,20107398
2010-03-17,6.028050,6.074780,6.004690,6.051410,4.723552,19264240
2010-03-18,6.051410,6.098140,6.004690,6.051410,4.723552,17293304
2010-03-19,6.051410,6.074780,6.004690,6.074780,4.741793,9724140
2010-03-22,6.074780,6.074780,5.981320,5.981320,4.668841,8369522
2010-03-23,6.051410,6.214970,6.028050,6.214970,4.851222,26244905
2010-03-24,6.238330,6.261700,6.168240,6.168240,4.814745,14464230
2010-03-25,6.168240,6.168240,6.074780,6.074780,4.741793,11934755
2010-03-26,6.074780,6.144870,5.981320,6.074780,4.741793,12850673
2010-03-29,6.144870,6.144870,6.051410,6.121510,4.778269,12018215
2010-03-30,6.144870,6.191600,6.121510,6.191600,4.832979,15181128
2010-03-31,6.144870,6.144870,6.004690,6.004690,4.687083,17616443
2010-04-01,6.051410,6.168240,6.028050,6.121510,4.778269,28472640
2010-04-02,6.144870,6.214970,6.121510,6.191600,4.832979,17886082
2010-04-06,6.238330,6.308420,6.214970,6.261700,4.887697,21350735
2010-04-07,6.308420,6.378520,6.308420,6.355150,4.960641,21048996
2010-04-08,6.401880,6.495340,6.331790,6.425250,5.015360,31402294
2010-04-09,6.471980,6.518710,6.425250,6.495340,5.070070,24890288
2010-04-12,6.542070,6.542070,6.425250,6.471980,5.051836,15033468
2010-04-13,6.425250,6.448610,6.308420,6.308420,4.924166,20400577
2010-04-14,6.308420,6.401880,6.308420,6.401880,4.997118,18299102
2010-04-15,6.495340,6.495340,6.378520,6.425250,5.015360,10079379
2010-04-16,6.425250,6.448610,6.331790,6.401880,4.997118,14643989
2010-04-19,6.191600,6.331790,6.191600,6.261700,4.887697,21684575
2010-04-20,6.308420,6.308420,6.214970,6.214970,4.851222,18189962
2010-04-21,6.285060,6.355150,6.261700,6.285060,4.905932,11506756
