Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.832390,5.860290,5.797500,5.832390,4.552752,2716247
2010-01-05,5.860290,6.202140,5.818430,6.013780,4.694345,14231986
2010-01-06,6.041680,6.264930,5.957960,6.160280,4.808702,19698881
2010-01-07,6.271910,6.278880,6.132380,6.146330,4.797813,19438006
2010-01-08,6.160280,6.237030,6.076570,6.188190,4.830489,7492254
2010-01-11,6.195170,6.285860,6.153310,6.153310,4.803262,10133965
2010-01-12,6.195170,6.216100,6.104470,6.104470,4.765137,5485528
2010-01-13,6.069590,6.090520,6.006800,6.020750,4.699786,5968576
2010-01-14,6.020750,6.076570,5.985870,6.020750,4.699786,3364133
2010-01-15,6.041680,6.097490,6.013780,6.062610,4.732462,2955620
2010-01-18,5.978890,6.048660,5.971920,6.034710,4.710682,2658912
2010-01-19,6.041680,6.076570,5.937030,5.964940,4.656221,3954683
2010-01-20,5.992850,6.020750,5.874250,5.895180,4.601766,2872485
2010-01-21,5.895180,6.027730,5.895180,5.944010,4.639883,2577209
2010-01-22,5.916100,5.930060,5.790530,5.825410,4.547304,2359336
2010-01-25,5.783550,5.790530,5.727740,5.734710,4.476503,1460610
2010-01-26,5.734710,5.790530,5.511470,5.518440,4.307683,4368929
2010-01-27,5.518440,5.609140,5.504490,5.511470,4.302242,1900656
2010-01-28,5.525420,5.692860,5.525420,5.630070,4.394823,2648878
2010-01-29,5.616110,5.630070,5.525420,5.525420,4.313132,3678042
2010-02-01,5.581230,5.630070,5.546350,5.581230,4.356698,1767352
2010-02-02,5.630070,5.630070,5.497510,5.560300,4.340359,1999559
2010-02-03,5.560300,5.602160,5.546350,5.581230,4.356698,1996692
2010-02-04,5.595180,5.630070,5.588210,5.588210,4.362147,1267104
2010-02-05,5.511470,5.546350,5.316120,5.371930,4.193318,4013452
2010-02-08,5.364960,5.581230,5.316120,5.581230,4.356698,2548542
2010-02-09,5.518440,5.574250,5.448680,5.574250,4.351249,1880589
2010-02-10,5.581230,5.609140,5.567280,5.581230,4.356698,1708584
2010-02-22,5.713790,5.741690,5.588210,5.664950,4.422049,1619714
2010-02-23,5.651000,5.685880,5.616110,5.664950,4.422049,934561
2010-02-24,5.651000,5.657970,5.609140,5.637040,4.400262,838525
2010-02-25,5.644020,5.678900,5.581230,5.581230,4.356698,1198302
2010-02-26,5.581230,5.616110,5.546350,5.581230,4.356698,968962
2010-03-01,5.581230,5.664950,5.581230,5.644020,4.405711,860025
2010-03-02,5.644020,5.651000,5.595180,5.616110,4.383924,827058
2010-03-03,5.623090,5.699830,5.623090,5.678900,4.432938,2699046
2010-03-04,5.678900,5.713790,5.616110,5.651000,4.411160,1814654
2010-03-05,5.657970,5.713790,5.657970,5.692860,4.443835,2191631
2010-03-08,5.713790,5.720760,5.671930,5.671930,4.427497,1153867
2010-03-09,5.678900,5.685880,5.651000,5.671930,4.427497,1315839
2010-03-10,5.651000,5.713790,5.651000,5.699830,4.449276,1406141
2010-03-11,5.685880,5.713790,5.651000,5.651000,4.411160,1482110
2010-03-12,5.657970,5.699830,5.651000,5.699830,4.449276,1596780
2010-03-15,5.692860,5.692860,5.616110,5.623090,4.389373,1281438
2010-03-16,5.623090,5.651000,5.616110,5.651000,4.411160,2015326
2010-03-17,5.664950,5.720760,5.664950,5.713790,4.460173,3035890
2010-03-18,5.727740,5.797500,5.720760,5.755640,4.492841,3323998
2010-03-19,5.790530,5.790530,5.706810,5.783550,4.514627,1912123
2010-03-22,5.783550,5.783550,5.720760,5.762620,4.498290,881526
2010-03-23,5.762620,5.769600,5.727740,5.741690,4.481952,1424775
2010-03-24,5.776570,5.797500,5.755640,5.755640,4.492841,1768785
2010-03-25,5.741690,5.755640,5.713790,5.720760,4.465614,1904956
2010-03-26,5.699830,5.790530,5.699830,5.720760,4.465614,1760185
2010-03-29,5.727740,5.776570,5.727740,5.727740,4.471062,2991455
2010-03-30,5.776570,5.797500,5.748670,5.755640,4.492841,2294834
2010-03-31,5.734710,5.748670,5.706810,5.706810,4.454724,2918353
