Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.548600,10.585800,10.324900,10.436800,8.980123,15636867
2010-01-05,10.585800,10.884000,10.548600,10.660400,9.172515,20498153
2010-01-06,10.660400,10.734900,10.548600,10.585800,9.108326,10962038
2010-01-07,10.585800,10.623100,10.362200,10.399500,8.948028,16263308
2010-01-08,10.399500,10.809500,10.362200,10.660400,9.172515,17852884
2010-01-11,10.660400,10.772200,10.585800,10.623100,9.140420,16429643
2010-01-12,10.623100,10.660400,10.362200,10.399500,8.948028,19924027
2010-01-13,10.287700,10.324900,9.952180,9.952180,8.563141,24896650
2010-01-14,10.064000,10.138500,10.026700,10.064000,8.659354,6252332
2010-01-15,10.213100,10.362200,10.175800,10.362200,8.915934,14468495
2010-01-18,10.250400,10.399500,10.213100,10.287700,8.851832,7309367
2010-01-19,10.399500,10.399500,10.138500,10.175800,8.755550,10108899
2010-01-20,10.362200,10.362200,10.138500,10.138500,8.723456,7835201
2010-01-21,10.213100,10.436800,10.175800,10.362200,8.915934,24027414
2010-01-22,10.362200,10.436800,9.989460,10.138500,8.723456,19046742
2010-01-25,9.914910,10.064000,9.803090,9.803090,8.434860,8515298
2010-01-26,9.840360,9.877630,9.132150,9.206700,7.921710,28949063
2010-01-27,9.393070,9.430340,9.169430,9.281250,7.985854,8823824
2010-01-28,9.467620,9.504890,9.355800,9.393070,8.082068,10115606
2010-01-29,9.243970,9.542170,9.169430,9.393070,8.082068,18314330
2010-02-01,9.430340,9.467620,9.243970,9.318520,8.017921,7701060
2010-02-02,9.467620,9.467620,8.983060,8.983060,7.729282,12002976
2010-02-03,9.243970,9.243970,9.057600,9.169430,7.889640,15037255
2010-02-04,9.169430,9.243970,9.132150,9.132150,7.857563,9067961
2010-02-05,8.871230,9.020330,8.796690,8.833960,7.600991,19453191
2010-02-08,8.945780,9.132150,8.908510,9.057600,7.793419,9200761
2010-02-09,9.132150,9.243970,9.094880,9.243970,7.953776,6330134
2010-02-10,9.318520,9.393070,9.243970,9.318520,8.017921,9257100
2010-02-22,9.467620,9.542170,9.318520,9.393070,8.082068,7126934
2010-02-23,9.243970,9.467620,9.243970,9.430340,8.114135,7291928
2010-02-24,9.281250,9.393070,9.169430,9.206700,7.921710,9442216
2010-02-25,9.206700,9.243970,8.833960,8.908510,7.665138,21985781
2010-02-26,9.057600,9.057600,8.871230,9.057600,7.793419,14269966
2010-03-01,9.094880,9.243970,9.020330,9.169430,7.889640,10131703
2010-03-02,9.318520,9.355800,9.243970,9.318520,8.017921,10298038
2010-03-03,9.355800,9.467620,9.243970,9.467620,8.146212,8385181
2010-03-04,9.542170,9.542170,9.281250,9.318520,8.017921,12673683
2010-03-05,9.467620,9.765810,9.393070,9.728540,8.370715,15714669
2010-03-08,9.803090,9.877630,9.691260,9.877630,8.498995,9579040
2010-03-09,9.840360,9.877630,9.653990,9.728540,8.370715,4225455
2010-03-10,9.840360,9.840360,9.691260,9.803090,8.434860,4503128
2010-03-11,9.877630,10.250400,9.840360,10.213100,8.787645,31542017
2010-03-12,10.250400,10.436800,10.064000,10.362200,8.915934,25226638
2010-03-15,10.399500,10.511300,10.138500,10.138500,8.723456,15644916
2010-03-16,10.287700,10.362200,10.064000,10.138500,8.723456,8940527
2010-03-17,10.213100,10.399500,10.175800,10.362200,8.915934,18330427
2010-03-18,10.399500,10.511300,10.324900,10.436800,8.980123,20503518
2010-03-19,10.436800,10.660400,10.362200,10.585800,9.108326,28091899
2010-03-22,10.585800,10.772200,10.474000,10.623100,9.140420,28247504
2010-03-23,10.585800,10.660400,10.474000,10.585800,9.108326,16428302
2010-03-24,10.660400,10.660400,10.474000,10.660400,9.172515,10915089
2010-03-25,10.660400,10.660400,10.436800,10.585800,9.108326,13923881
2010-03-26,10.623100,10.734900,10.474000,10.734900,9.236615,12167970
2010-03-29,10.734900,11.294100,10.734900,11.144900,9.589393,44379353
2010-03-30,11.182200,11.405900,11.182200,11.219500,9.653580,43441704
2010-03-31,11.219500,11.294100,11.107700,11.144900,9.589393,15135178
2010-04-01,11.256800,11.443100,11.219500,11.219500,9.653580,32420644
2010-04-02,11.219500,11.256800,10.958600,11.107700,9.557384,14974208
2010-04-06,11.219500,11.480400,11.219500,11.368600,9.781870,24765192
2010-04-07,11.480400,11.480400,11.256800,11.294100,9.717768,13420851
2010-04-08,11.294100,11.294100,10.958600,11.033100,9.493196,23732303
2010-04-09,11.033100,11.107700,10.660400,10.772200,9.268710,18477983
2010-04-12,10.809500,11.256800,10.809500,11.256800,9.685674,17178152
2010-04-13,11.294100,11.294100,11.144900,11.256800,9.685674,15233101
2010-04-14,11.368600,11.368600,11.256800,11.294100,9.717768,12032487
2010-04-15,11.331300,11.592200,11.331300,11.555000,9.942254,29858542
2010-04-16,11.555000,11.555000,11.219500,11.256800,9.685674,9190030
2010-04-19,10.809500,11.033100,10.809500,10.884000,9.364905,18180189
2010-04-20,11.107700,11.555000,11.070400,11.331300,9.749775,22337232
2010-04-21,11.405900,11.480400,11.033100,11.070400,9.525290,17011817
2010-04-22,11.033100,11.070400,10.846800,10.958600,9.429092,8256405
2010-04-23,10.958600,11.033100,10.697700,10.772200,9.268710,19162104
2010-04-26,10.958600,11.294100,10.958600,11.219500,9.653580,15408827
2010-04-27,11.294100,11.666800,11.144900,11.480400,9.878065,39487214
2010-04-28,11.256800,11.704100,11.182200,11.480400,9.878065,31158373
2010-04-29,11.704100,12.263200,11.592200,12.076800,10.391225,45972953
2010-04-30,12.300500,12.896800,12.151400,12.300500,10.583703,91230932
2010-05-03,12.375000,12.524100,11.965000,12.375000,10.647805,17720084
2010-05-04,12.598600,12.598600,12.151400,12.151400,10.455412,30142922
2010-05-05,11.927700,12.524100,11.704100,12.449500,10.711907,43997050
2010-05-06,12.449500,12.449500,11.704100,11.927700,10.262935,25158226
2010-05-07,11.629500,12.263200,11.629500,12.002300,10.327125,27811544
2010-05-10,12.151400,12.263200,11.927700,12.039500,10.359132,17450459
2010-05-11,12.039500,12.225900,11.927700,11.965000,10.295029,24255454
2010-05-12,12.151400,12.449500,12.076800,12.263200,10.551609,16903162
2010-05-13,12.449500,12.785000,12.449500,12.524100,10.776094,34049121
2010-05-14,12.524100,12.673200,12.412300,12.673200,10.904385,9043816
2010-05-17,12.524100,12.598600,12.337700,12.449500,10.711907,16923284
2010-05-18,12.524100,13.120500,12.524100,12.971400,11.160964,35851982
2010-05-19,13.045900,13.455900,12.971400,13.306900,11.449637,43365243
2010-05-20,13.195000,13.232300,12.747700,12.747700,10.968487,48376767
2010-05-21,12.375000,12.375000,12.002300,12.225900,10.519515,32071876
2010-05-24,12.449500,12.785000,12.375000,12.524100,10.776094,31057767
2010-05-25,12.300500,12.822300,12.263200,12.710500,10.936479,35670891
2010-05-26,12.934100,13.008700,12.598600,12.896800,11.096777,30910211
2010-05-27,12.785000,12.859600,12.598600,12.822300,11.032675,14811897
2010-05-28,13.008700,13.530500,12.822300,13.269600,11.417544,60896188
2010-05-31,13.418700,13.716900,13.306900,13.306900,11.449637,38758826
2010-06-01,13.269600,13.530500,13.120500,13.269600,11.417544,24077046
2010-06-02,13.269600,13.455900,13.045900,13.083200,11.257161,30890090
2010-06-03,13.269600,13.493200,13.157800,13.418700,11.545834,23159519
2010-06-04,13.530500,13.567800,13.381400,13.418700,11.545834,13639501
2010-06-07,13.045900,13.381400,13.045900,13.381400,11.513741,14654952
2010-06-08,13.381400,13.418700,12.934100,12.971400,11.160964,19469288
2010-06-09,13.083200,13.120500,12.449500,12.449500,10.711907,35248345
2010-06-10,12.673200,13.083200,12.598600,12.971400,11.160964,19353926
2010-06-11,13.269600,13.344100,13.045900,13.120500,11.289254,14951404
2010-06-14,13.269600,13.791400,13.269600,13.716900,11.802414,55349439
2010-06-15,13.828700,14.648700,13.791400,14.276000,12.283480,91222883
2010-06-17,14.276000,14.387800,14.052300,14.201400,12.219292,39192103
2010-06-18,14.164200,14.164200,13.903200,14.052300,12.091002,17887760
2010-06-21,14.201400,14.760500,14.201400,14.723300,12.668349,38190067
2010-06-22,14.723300,15.096000,14.611400,14.946900,12.860743,36456959
2010-06-23,14.797800,14.872400,14.462300,14.462300,12.443778,25044206
2010-06-24,14.686000,14.686000,14.350500,14.387800,12.379677,13595235
2010-06-25,14.164200,14.611400,14.164200,14.276000,12.283480,15357853
2010-06-28,14.387800,14.760500,14.387800,14.536900,12.507966,16739510
2010-06-29,14.760500,14.760500,13.716900,13.791400,11.866517,41487263
2010-06-30,13.567800,14.313200,13.567800,14.164200,12.187284,85002745
2010-07-01,14.164200,14.350500,14.015100,14.276000,12.283480,12116996
2010-07-02,14.835100,15.506000,14.686000,14.909600,12.828648,76714146
2010-07-05,14.946900,15.468800,14.835100,15.021500,12.924930,52663928
2010-07-06,14.872400,15.021500,14.686000,14.686000,12.636255,72456497
2010-07-07,14.984200,15.580600,14.872400,15.058700,12.956937,101029964
2010-07-08,15.282400,15.468800,15.058700,15.096000,12.989031,45856250
2010-07-09,15.282400,15.319600,14.648700,14.797800,12.732452,32523933
2010-07-12,14.797800,15.021500,14.611400,14.648700,12.604161,31326049
2010-07-13,14.835100,14.946900,14.686000,14.797800,12.732452,15155299
2010-07-14,15.021500,15.282400,14.909600,15.096000,12.989031,36204774
2010-07-15,15.133300,15.468800,15.096000,15.170600,13.053220,42910504
